Time,L_Left,M_Middle,R_Right,D_Dist,Note
0.000,41.1,19.200000000000003,52.0,255.0,-
0.113,41.2,19.200000000000003,52.0,255.0,-
0.182,41.1,19.200000000000003,52.0,255.0,-
0.248,41.1,19.1,52.0,255.0,-
0.315,41.1,19.1,52.0,255.0,-
0.381,41.1,19.1,51.900000000000006,255.0,-
0.447,41.1,19.1,51.900000000000006,255.0,-
0.514,41.1,19.1,51.7,255.0,-
0.580,41.1,19.1,51.7,255.0,-
0.646,41.1,19.1,51.7,255.0,-
0.712,41.1,19.1,51.900000000000006,255.0,-
0.778,41.1,19.1,51.900000000000006,255.0,-
0.845,41.1,19.1,51.900000000000006,255.0,-
0.912,41.1,19.1,51.900000000000006,255.0,-
0.979,41.1,19.1,52.0,255.0,-
1.045,41.1,19.1,51.7,255.0,-
1.111,41.1,19.1,51.900000000000006,255.0,-
1.177,41.1,18.900000000000002,51.7,255.0,-
1.245,41.1,18.6,51.900000000000006,255.0,-
1.311,41.5,18.8,52.1,255.0,-
1.377,41.1,21.1,52.1,255.0,-
1.445,41.1,31.1,52.400000000000006,255.0,-
1.511,41.900000000000006,39.0,52.300000000000004,255.0,-
1.576,42.400000000000006,31.6,52.300000000000004,255.0,-
1.644,41.7,32.1,52.0,255.0,-
1.710,42.0,36.0,52.400000000000006,255.0,-
1.775,42.2,34.2,53.0,255.0,-
1.843,41.900000000000006,25.6,52.5,255.0,-
1.911,42.800000000000004,17.900000000000002,52.7,255.0,-
1.976,42.6,18.1,52.800000000000004,255.0,-
2.043,41.900000000000006,17.6,52.800000000000004,255.0,-
2.110,41.6,17.6,52.800000000000004,255.0,-
2.176,41.5,17.6,52.7,255.0,-
2.244,41.5,17.6,52.7,255.0,-
2.311,41.5,17.6,52.7,255.0,-
2.375,41.5,17.6,52.7,255.0,-
2.443,41.5,17.7,52.5,255.0,-
2.509,41.300000000000004,17.7,52.400000000000006,255.0,-
2.575,41.300000000000004,17.7,52.300000000000004,255.0,-
2.642,41.300000000000004,17.7,52.400000000000006,255.0,-
2.707,41.5,17.7,52.5,255.0,-
2.774,41.5,17.8,52.300000000000004,255.0,-
2.842,41.1,18.1,51.2,255.0,-
2.907,38.900000000000006,19.900000000000002,48.2,255.0,-
2.974,38.0,19.5,48.300000000000004,255.0,-
3.041,41.900000000000006,18.1,52.300000000000004,255.0,-
3.107,41.300000000000004,27.5,52.400000000000006,255.0,-
3.173,41.6,38.7,52.300000000000004,255.0,-
3.242,41.2,31.8,52.5,255.0,-
3.307,41.5,31.900000000000002,52.400000000000006,255.0,-
3.373,41.1,35.9,52.0,255.0,-
3.440,41.2,26.8,52.0,255.0,-
3.505,41.5,38.6,52.1,255.0,-
3.571,41.2,27.1,52.1,255.0,-
